AILERON POSITION LH,AILERON POSITION RH,CORRECTED ANGLE OF ATTACK,BARO CORRECT ALTITUDE LSP,BARO CORRECT ALTITUDE LSP,COMPUTED AIRSPEED LSP,SELECTED COURSE,DRIFT ANGLE,ELEVATOR POSITION LEFT,ELEVATOR POSITION RIGHT,T.E. FLAP POSITION,GLIDESLOPE DEVIATION,SELECTED HEADING,SELECTED AIRSPEED,LOCALIZER DEVIATION,N1 COMMAND LSP,TOTAL PRESSURE LSP,PITCH ANGLE LSP,ROLL ANGLE LSP,RUDDER POSITION,TRUE HEADING LSP,VERTICAL ACCELERATION,WIND SPEED,AP FD STATUS,GEARS L&R DOWN LOCKED,TCAS LSP,WEIGHT ON WHEELS
41.9,62.337543,-0.0018466067,783.8046,785.44684,-0.006389997,71.98191,48.906406,23.749718,59.759834,94.0,0.0011700001,118.91517,135.0,-0.26166,7.4869246,973.37787,-0.2517671,0.47368562,-0.65859187,-95.8565,0.99991894,36.606888,2,0,0,0
122.05444,62.358,0.0018437959,834.46204,838.1505,0.0063883215,71.98191,55.390408,23.749718,59.759834,94.0,-0.0050699734,118.91517,135.0,-0.26028797,-1.6812208,967.69904,-0.6479638,0.8343287,-0.66736484,-156.47449,1.0172207,-8.225685,2,0,0,0
122.81139,62.337543,-0.0018409973,819.8281,822.7497,-0.0063866996,71.98191,53.558292,23.749718,59.759834,94.0,-0.0023400208,118.91517,135.0,-0.271852,0.9164376,969.634,-0.5470602,0.7499716,-0.55786574,-138.82185,0.99820906,4.487019,2,0,0,0
123.01597,62.317085,0.0018382106,828.5505,831.90125,0.006385131,71.98191,54.64908,23.749718,59.73938,94.0,-0.009360017,118.91517,135.0,-0.253624,-0.62447816,968.48755,-0.60588145,0.7928797,-0.67740816,-149.5616,1.0177375,-3.0597508,2,0,0,0
123.3433,62.337543,-0.001835436,822.0203,825.47144,-0.006383615,71.98191,53.850918,23.729263,59.759834,94.0,-0.01091999,118.91517,135.0,-0.262836,0.47221774,969.27466,-0.5646607,0.7532646,-0.53842634,-141.72963,0.9987463,2.3154016,2,0,0,0
41.9,62.337543,0.0018326731,827.4104,830.5853,0.0063821515,71.98191,54.466137,23.729263,59.759834,94.0,-0.010140004,118.91517,135.0,-0.24558796,-0.3791604,968.65356,-0.5961795,0.7810701,-0.64703226,-147.95439,1.016598,-1.8604668,2,0,0,0
121.60437,62.337543,-0.0018299221,823.1813,826.6055,-0.0063807406,71.98191,53.99834,23.749718,59.780293,94.0,-0.0077999854,118.91517,135.0,-0.26969597,0.3165198,969.1756,-0.5708111,0.7593499,-0.5083494,-142.75081,0.99925035,1.5542247,2,0,0,0
119.701775,62.317085,0.0018271828,826.5906,829.90173,0.006379381,71.98191,54.386017,23.749718,59.759834,94.0,-0.0023400208,118.91517,135.0,-0.26362,-0.27152222,968.74316,-0.59193194,0.77701825,-0.6326049,-147.2475,1.016094,-1.3342308,2,0,0,0
120.68376,62.337543,-0.0018244552,823.5694,827.1052,-0.006378073,71.98191,54.06361,23.749718,59.759834,94.0,-0.009360017,118.91517,135.0,-0.259896,0.2376525,969.0802,-0.5739202,0.76225424,-0.4823888,-143.26955,0.99971247,1.1686356,2,0,0,0
120.49963,62.358,0.0018217392,826.0509,829.34186,0.006376816,71.98191,54.34282,23.749718,59.780293,94.0,-0.01599002,118.91517,135.0,-0.258132,-0.21124566,968.7564,-0.5895583,0.77486175,-0.5583317,-146.85034,1.0157684,-1.0395231,2,0,0,0
122.36131,62.358,-0.0018190348,823.9811,827.1369,-0.00637561,71.98191,54.08632,23.749718,59.780293,94.0,-0.01091999,118.91517,135.0,-0.264208,0.19008434,969.0671,-0.5757912,0.76381695,-0.42998466,-143.58357,1.0002009,0.93605375,2,0,0,0
121.42025,62.358,0.0018163417,825.89545,829.1214,0.006374454,71.98191,54.33377,23.749718,59.780293,94.0,0.0023400001,118.91517,135.0,-0.26166,-0.1727492,968.81604,-0.588046,0.7744633,-0.54632145,-146.59567,1.0151377,-0.8512889,2,0,0,0
121.66574,62.358,-0.00181366,824.6722,827.98334,-0.0063733486,71.98191,54.12938,23.729263,59.759834,94.0,-0.012480022,118.91517,135.0,-0.255388,0.15829001,969.0377,-0.57703847,0.7759675,-0.41531873,-143.7944,1.0004873,0.7805833,2,0,0,0
121.82941,62.358,0.0018109897,825.90656,829.3673,0.0063722925,71.98191,54.32167,23.749718,59.759834,94.0,-0.01091999,118.91517,135.0,-0.2646,-0.14604674,968.7991,-0.587,0.7833002,-0.5240266,-146.41817,1.0147825,-0.7207107,2,0,0,0
120.09048,62.337543,-0.0018083305,825.0863,827.9836,-0.006371286,71.98191,54.156036,23.729263,59.780293,94.0,-0.07839,118.91517,135.0,-0.07369597,0.13554686,969.005,-0.5779279,0.7771264,-0.4058942,-143.94598,1.0003346,0.66936076,2,0,0,0
122.7091,62.337543,0.0018056827,825.3965,828.75433,0.006370329,71.98191,54.319344,23.749718,59.759834,95.0,-0.07955998,118.91517,135.0,-0.07251997,-0.12644309,968.8196,-0.5862347,0.78253496,-0.51660866,-146.28714,1.0139248,-0.6248361,2,0,0,0
120.11093,62.337543,-0.0018030459,824.3234,827.3538,-0.0063694203,71.98191,54.21679,23.749718,59.780293,94.0,-0.07800001,118.91517,135.0,-0.07389198,0.11847463,969.02905,-0.5785932,0.7778027,-0.41004893,-144.06044,1.0015359,0.5858616,2,0,0,0
121.56345,62.358,0.00180042,825.378,828.92755,0.0063685607,71.98191,54.351894,23.749718,59.759834,94.0,-0.009360017,118.91517,135.0,-0.25440797,-0.11144177,968.8308,-0.5856513,0.7818709,-0.52214926,-146.18625,1.0138913,-0.551461,2,0,0,0
122.23856,62.358,-0.0017978052,825.6399,828.1434,-0.0063677486,71.98191,54.233177,23.749718,59.759834,94.0,-0.019890012,118.91517,135.0,-0.256564,0.105189,969.0018,-0.57910883,0.7786124,-0.4093513,-144.15007,1.0021596,0.52087414,2,0,0,0
121.133835,62.337543,0.0017952013,826.3154,828.80743,0.006366985,71.98191,54.36396,23.749718,59.73938,94.0,-0.010140004,118.91517,135.0,-0.23676796,-0.099593475,968.87897,-0.58519244,0.77955705,-0.5233915,-146.10605,1.014066,-0.49350047,2,0,0,0
